/home/debian/anaconda3/envs/jaxenv/bin/python /home/debian/PycharmProjects/PythonProject/WKLC-KWC_3D_Extension_ZigZag.py 
Placed 180/180 seeds.
Saved VTK at t = 1.070000, laser=(1.8625, 0.7925) to VTK/fields_002140.vtk
Saved VTK at t = 1.075000, laser=(1.8625, 0.8175) to VTK/fields_002150.vtk
Saved VTK at t = 1.080000, laser=(1.8625, 0.8425) to VTK/fields_002160.vtk
Saved VTK at t = 1.085000, laser=(1.8625, 0.8675) to VTK/fields_002170.vtk
Saved VTK at t = 1.090000, laser=(1.8625, 0.8925) to VTK/fields_002180.vtk
Saved VTK at t = 1.095000, laser=(1.8625, 0.9175) to VTK/fields_002190.vtk
Saved VTK at t = 1.100000, laser=(1.8625, 0.9425) to VTK/fields_002200.vtk
Saved VTK at t = 1.105000, laser=(1.8625, 0.9675) to VTK/fields_002210.vtk
Saved VTK at t = 1.110000, laser=(1.8625, 0.9925) to VTK/fields_002220.vtk
Saved VTK at t = 1.115000, laser=(1.8625, 1.0175) to VTK/fields_002230.vtk
Saved VTK at t = 1.120000, laser=(1.8625, 1.0425) to VTK/fields_002240.vtk
Saved VTK at t = 1.125000, laser=(1.8625, 1.0675) to VTK/fields_002250.vtk
Saved VTK at t = 1.130000, laser=(1.8625, 1.0925) to VTK/fields_002260.vtk
Saved VTK at t = 1.135000, laser=(1.8625, 1.1175) to VTK/fields_002270.vtk
Saved VTK at t = 1.140000, laser=(1.8625, 1.1425) to VTK/fields_002280.vtk
Saved VTK at t = 1.145000, laser=(1.8625, 1.1675) to VTK/fields_002290.vtk
Saved VTK at t = 1.150000, laser=(1.8625, 1.1925) to VTK/fields_002300.vtk
Saved VTK at t = 1.155000, laser=(1.8625, 1.2175) to VTK/fields_002310.vtk
Saved VTK at t = 1.160000, laser=(1.8625, 1.2425) to VTK/fields_002320.vtk
Saved VTK at t = 1.165000, laser=(1.8625, 1.2675) to VTK/fields_002330.vtk
Saved VTK at t = 1.170000, laser=(1.8625, 1.2925) to VTK/fields_002340.vtk
Saved VTK at t = 1.175000, laser=(1.8625, 1.3175) to VTK/fields_002350.vtk
Saved VTK at t = 1.180000, laser=(1.8625, 1.3425) to VTK/fields_002360.vtk
Saved VTK at t = 1.185000, laser=(1.8625, 1.3675) to VTK/fields_002370.vtk
Saved VTK at t = 1.190000, laser=(1.8625, 1.3925) to VTK/fields_002380.vtk
Saved VTK at t = 1.195000, laser=(1.8625, 1.4175) to VTK/fields_002390.vtk
Saved VTK at t = 1.200000, laser=(1.8625, 1.4425) to VTK/fields_002400.vtk
Saved VTK at t = 1.205000, laser=(1.8625, 1.4675) to VTK/fields_002410.vtk
Saved VTK at t = 1.210000, laser=(1.8625, 1.4925) to VTK/fields_002420.vtk
Saved VTK at t = 1.215000, laser=(1.8625, 1.5175) to VTK/fields_002430.vtk
Saved VTK at t = 1.220000, laser=(1.8625, 1.5425) to VTK/fields_002440.vtk
Saved VTK at t = 1.225000, laser=(1.8625, 1.5675) to VTK/fields_002450.vtk
Saved VTK at t = 1.230000, laser=(1.8625, 1.5925) to VTK/fields_002460.vtk
Saved VTK at t = 1.235000, laser=(1.8625, 1.6175) to VTK/fields_002470.vtk
Saved VTK at t = 1.240000, laser=(1.8625, 1.6425) to VTK/fields_002480.vtk
Saved VTK at t = 1.245000, laser=(1.8625, 1.6675) to VTK/fields_002490.vtk
Saved VTK at t = 1.250000, laser=(1.8625, 1.6925) to VTK/fields_002500.vtk
Saved VTK at t = 1.255000, laser=(1.8625, 1.7175) to VTK/fields_002510.vtk
Saved VTK at t = 1.260000, laser=(1.8625, 1.7425) to VTK/fields_002520.vtk
Saved VTK at t = 1.265000, laser=(1.8625, 1.7675) to VTK/fields_002530.vtk
Saved VTK at t = 1.270000, laser=(1.8625, 1.7925) to VTK/fields_002540.vtk
Saved VTK at t = 1.275000, laser=(1.8625, 1.8175) to VTK/fields_002550.vtk
Saved VTK at t = 1.280000, laser=(1.8625, 1.8425) to VTK/fields_002560.vtk
Saved VTK at t = 1.285000, laser=(1.8625, 1.8675) to VTK/fields_002570.vtk
Saved VTK at t = 1.290000, laser=(1.8925, 1.8750) to VTK/fields_002580.vtk
Saved VTK at t = 1.295000, laser=(1.9425, 1.8750) to VTK/fields_002590.vtk
Saved VTK at t = 1.300000, laser=(1.9625, 1.8600) to VTK/fields_002600.vtk
Saved VTK at t = 1.305000, laser=(1.9625, 1.8350) to VTK/fields_002610.vtk
Saved VTK at t = 1.310000, laser=(1.9625, 1.8100) to VTK/fields_002620.vtk
Saved VTK at t = 1.315000, laser=(1.9625, 1.7850) to VTK/fields_002630.vtk
Saved VTK at t = 1.320000, laser=(1.9625, 1.7600) to VTK/fields_002640.vtk
Saved VTK at t = 1.325000, laser=(1.9625, 1.7350) to VTK/fields_002650.vtk
Saved VTK at t = 1.330000, laser=(1.9625, 1.7100) to VTK/fields_002660.vtk
Saved VTK at t = 1.335000, laser=(1.9625, 1.6850) to VTK/fields_002670.vtk
Saved VTK at t = 1.340000, laser=(1.9625, 1.6600) to VTK/fields_002680.vtk
Saved VTK at t = 1.345000, laser=(1.9625, 1.6350) to VTK/fields_002690.vtk
Saved VTK at t = 1.350000, laser=(1.9625, 1.6100) to VTK/fields_002700.vtk
Saved VTK at t = 1.355000, laser=(1.9625, 1.5850) to VTK/fields_002710.vtk
Saved VTK at t = 1.360000, laser=(1.9625, 1.5600) to VTK/fields_002720.vtk
Saved VTK at t = 1.365000, laser=(1.9625, 1.5350) to VTK/fields_002730.vtk
Saved VTK at t = 1.370000, laser=(1.9625, 1.5100) to VTK/fields_002740.vtk
Saved VTK at t = 1.375000, laser=(1.9625, 1.4850) to VTK/fields_002750.vtk
Saved VTK at t = 1.380000, laser=(1.9625, 1.4600) to VTK/fields_002760.vtk
Saved VTK at t = 1.385000, laser=(1.9625, 1.4350) to VTK/fields_002770.vtk
Saved VTK at t = 1.390000, laser=(1.9625, 1.4100) to VTK/fields_002780.vtk
Saved VTK at t = 1.395000, laser=(1.9625, 1.3850) to VTK/fields_002790.vtk
Saved VTK at t = 1.400000, laser=(1.9625, 1.3600) to VTK/fields_002800.vtk
Saved VTK at t = 1.405000, laser=(1.9625, 1.3350) to VTK/fields_002810.vtk
Saved VTK at t = 1.410000, laser=(1.9625, 1.3100) to VTK/fields_002820.vtk
Saved VTK at t = 1.415000, laser=(1.9625, 1.2850) to VTK/fields_002830.vtk
Saved VTK at t = 1.420000, laser=(1.9625, 1.2600) to VTK/fields_002840.vtk
Saved VTK at t = 1.425000, laser=(1.9625, 1.2350) to VTK/fields_002850.vtk
Saved VTK at t = 1.430000, laser=(1.9625, 1.2100) to VTK/fields_002860.vtk
Saved VTK at t = 1.435000, laser=(1.9625, 1.1850) to VTK/fields_002870.vtk
Saved VTK at t = 1.440000, laser=(1.9625, 1.1600) to VTK/fields_002880.vtk
Saved VTK at t = 1.445000, laser=(1.9625, 1.1350) to VTK/fields_002890.vtk
Saved VTK at t = 1.450000, laser=(1.9625, 1.1100) to VTK/fields_002900.vtk
Saved VTK at t = 1.455000, laser=(1.9625, 1.0850) to VTK/fields_002910.vtk
Saved VTK at t = 1.460000, laser=(1.9625, 1.0600) to VTK/fields_002920.vtk
Saved VTK at t = 1.465000, laser=(1.9625, 1.0350) to VTK/fields_002930.vtk
Saved VTK at t = 1.470000, laser=(1.9625, 1.0100) to VTK/fields_002940.vtk
Saved VTK at t = 1.475000, laser=(1.9625, 0.9850) to VTK/fields_002950.vtk
Saved VTK at t = 1.480000, laser=(1.9625, 0.9600) to VTK/fields_002960.vtk
Saved VTK at t = 1.485000, laser=(1.9625, 0.9350) to VTK/fields_002970.vtk
Saved VTK at t = 1.490000, laser=(1.9625, 0.9100) to VTK/fields_002980.vtk
